image,well,roi_area,raw_mean,raw_median,raw_intden,mean_gray,median_gray,sd_gray,min_gray,max_gray,intden_gray,cv_gray,dark_frac_40,dark_frac_60,dark_frac_80
22603_crop,TL,477851.000,103.216,104.000,49322059.000,112.061,113.000,17.067,0.000,173.000,53548389.000,0.152303,24.370,25.078,27.076

22603_crop,TM,503920.000,16.220,12.000,8173660.000,31.463,26.000,24.240,0.000,187.000,15854742.000,0.770437,87.174,93.024,94.889

22603_crop,TR,484526.000,14.022,13.000,6794115.000,29.079,27.000,12.255,0.000,147.000,14089661.000,0.421441,89.857,97.500,99.248

22603_crop,BL,475902.000,29.432,29.000,14006733.000,41.393,41.000,7.947,0.000,77.000,19699051.000,0.191986,48.087,98.527,100.000

22603_crop,BM,495156.000,22.786,23.000,11282806.000,35.460,35.000,7.198,0.000,69.000,17558459.000,0.202989,76.852,99.933,100.000

22603_crop,BR,463304.000,14.607,14.000,6767341.000,29.743,28.000,10.732,0.000,95.000,13779978.000,0.360818,88.630,97.951,99.701

H9903_crop,TL,477851.000,95.549,96.000,45658281.000,105.785,106.000,14.378,0.000,153.000,50549457.000,0.135913,23.582,23.627,26.015

H9903_crop,TM,503920.000,83.051,85.000,41850821.000,106.711,110.000,32.273,0.000,204.000,53773771.000,0.302437,3.736,8.444,17.785

H9903_crop,TR,484526.000,20.640,11.000,10000398.000,42.156,29.000,36.021,0.000,190.000,20425510.000,0.854479,71.110,81.649,86.511

H9903_crop,BL,475902.000,35.116,33.000,16711557.000,46.704,44.000,16.583,0.000,173.000,22226465.000,0.355072,35.232,91.355,96.210

H9903_crop,BM,495156.000,28.088,28.000,13908138.000,40.462,40.000,7.847,0.000,125.000,20034871.000,0.193942,52.169,98.859,99.862

H9903_crop,BR,463304.000,17.444,17.000,8081992.000,32.361,31.000,9.819,0.000,98.000,14992867.000,0.303428,83.610,98.453,99.910

